price,beds,baths,sqft,sqftlot,broker,address
"$250,000",2bed,3bath,"2,596sqft","3,485sqft lot",Nebraska Realty,"915 S 119th Ct, Omaha, NE 68154"
"$90,000",5bed,3bath,"2,201sqft","7,405sqft lot",Keller Williams Greater Omaha,"4736 N 39th St, Omaha, NE 68111"
"$210,000",3bed,1.5bath,"1,774sqft",0.38acre lot,Nebraska Realty,"8006 Raven Oaks Dr, Omaha, NE 68152"
"$175,000",3bed,2bath,"1,436sqft","8,712sqft lot",NP Dodge - Sarpy County Branch Office,"3620 S 89th St, Omaha, NE 68124"
"$130,000",2bed,1bath,840sqft,"5,227sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"6021 Hamilton St, Omaha, NE 68132"
"$149,950",1bed,1bath,555sqft,,Milford Real Estate,"300 S 16th St Apt 506, Omaha, NE 68102"
"$205,000",3bed,2bath,"2,202sqft","9,100sqft lot",BHHS Ambassador Real Estate,"11061 Decatur St, Omaha, NE 68154"
"$125,000",1bed,1bath,840sqft,,Better Homes and Gardens Real Estate The Good Life Group,"131 S 39th St Apt 18, Omaha, NE 68131"
"$115,000",4bed,2bath,"2,391sqft",0.25acre lot,Re/Max Real Estate Group Giles,"4825 S 16th St, Omaha, NE 68107"
"$130,000",3bed,1.5bath,"1,426sqft","4,792sqft lot",BHHS Ambassador Real Estate,"5836 S 136th St, Omaha, NE 68137"
"$230,000",3bed,2bath,"1,480sqft","6,229sqft lot",Bhhs Ambassador Real Estate,"16103 Briar St, Omaha, NE 68136"
"$120,000",2bed,1bath,"1,201sqft","7,620acre lot",Nebraska Realty,"3416 Charles St, Omaha, NE 68131"
"$149,000",3bed,2bath,"1,326sqft",0.24acre lot,Nebraska Realty,"2558 Jaynes St, Omaha, NE 68111"
"$139,000",4bed,2bath,"1,462sqft",0.24acre lot,P J MORGAN REAL ESTATE,"6115 N 36th St, Omaha, NE 68111"
"$345,000",3bed,2bath,"2,178sqft","7,452sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"4417 William St, Omaha, NE 68105"
"$185,000",3bed,2bath,"1,288sqft","6,970sqft lot",BHHS Ambassador Real Estate,"7527 Sherman Dr, Omaha, NE 68134"
"$210,000",3bed,2bath,"1,687sqft","9,148sqft lot",kwELITE Real Estate,"2733 S 49th St, Omaha, NE 68106"
"$185,000",3bed,2bath,"1,409sqft","6,400sqft lot",Bhhs Ambassador Real Estate,"6818 Maple St, Omaha, NE 68104"
"$560,000",4bed,2.5bath,"3,450sqft",0.28acre lot,NP Dodge - 108Dodge Branch Office,"8023 Woolworth Ave, Omaha, NE 68124"
"$161,750",3bed,1bath,"1,008sqft",0.25acre lot,United Country Loess Hills Rea,"3432 Sheffield St, Omaha, NE 68112"
"$175,000",4bed,2bath,"2,039sqft","6,098sqft lot",Nebraska Realty,"1318 S 9th St, Omaha, NE 68108"
"$240,000",4bed,2bath,"1,727sqft","9,000sqft lot",kwELITE Real Estate,"3134 S 52nd St, Omaha, NE 68106"
"$260,000",4bed,2bath,"1,924sqft","6,403sqft lot",Better Homes And Gardens R.E.,"2715 N 64th St, Omaha, NE 68104"
"$145,000",3bed,1.5bath,"1,154sqft","5,663sqft lot",Nebraska Realty,"4420 S 40th St, Omaha, NE 68107"
"$299,900",4bed,2bath,"2,757sqft",0.23acre lot,NP Dodge - 108Dodge Branch Office,"5120 Cass St, Omaha, NE 68132"
"$899,900",3bed,3.5bath,"2,926sqft","2,542sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"501 S 38th St Unit 1, Omaha, NE 68105"
"$160,000",3bed,2bath,"1,466sqft","6,500sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"3026 Stone Ave, Omaha, NE 68111"
"$225,000",4bed,2.5+bath,"2,176sqft","8,500sqft lot",BHHS Ambassador Real Estate,"9706 Saratoga St, Omaha, NE 68134"
"$239,000",3bed,2.5bath,"1,805sqft","8,276sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"6318 S 150th St, Omaha, NE 68137"
"$769,900",3bed,3.5bath,"2,571sqft","1,968sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"501 S 38th St Unit 2, Omaha, NE 68105"
